tweet,message,match,polarity
473,RT ThugLife Back Terri get 1 Gold cert for Canada Na same ur obo Mayorkun no any,,neutral
474,Cause we lost the summer When each other naye gyejeoreul dollyeojweo Oh it s all gone yeongw,lost,negative
475,RT TrumperWavin White hat operators posting a simple but straightforward message shows that they know nothing can stop what is coming Ba,straightforward,positive
476,RT Qtah17 Skyline view of the Swamp Calm before Storm Goodnight Patriots God Bless America,,neutral
477,emilybetttts It was undeniable I may have manifested the shit storm that tonight,shit,negative
478,Thoughts and prayers,,neutral
479,RT emmaandollie Not feeling reassured that health and safety of HCWs subsequently public is ensured now or in foreseeable f,,neutral
480,RT josstheboss The Chinese Flu is looking very American,,neutral
481,RT cctv idiots Winter is coming,idiots,negative
482,RT TWilsonOttawa It s never been more clear that the gun debate in Canada isn t about reducing crime it legal ow,"clear, crime",neutral
483,RT the4hicks77 AHS SENIOR FALL WINTER ATHLETES BAND CHEER PATRIETTES Please email your baby pictures to vp fundraising ahsboosterc,,neutral
484,RT josstheboss The Chinese Flu is looking very American,,neutral
485,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
486,RT Stand with HK Canadian government announces new measures to support Hong Kong residents including youth immigrate Canada Th,support,positive
487,THIS,,neutral
488,RT MattNorlander Breaking The Ivy League has canceled all winter sports for the 2020 21 season sources told CBSSports presiden,,neutral
489,RT drphilhammond If approved the Pfizer BioNTech vaccine will be manufactured in Germany and Belgium We have ordered 40 million doses,,neutral
490,RT TrumperWavin White hat operators posting a simple but straightforward message shows that they know nothing can stop what is coming Ba,straightforward,positive
491,wrapsandanime OhSayLesss And what temperature do I cook to get rid of that Because scientifically heat breaks down anything,breaks,negative
492,Heed the warning,warning,negative
493,RT IgnOrtEsc Winter Northern lights,,neutral
494,RT josstheboss The Chinese Flu is looking very American,,neutral
495,God forbid the rapist catches flu,forbid,negative
496,RealBlue75 onecaliberal never have had a bad reaction from flu shot don t get the either,bad,negative
497,RT josstheboss The Chinese Flu is looking very American,,neutral
498,trippin fallin with no safety net,,neutral
499,RT SputnikInt Canada to announce new measures for citizens in HongKong as national security law enforced,,neutral
500,RT markgeronimo again how can u sleep so peacefully tonight knowing there are people out who s trying to save their houses amp thei,peacefully,positive
501,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
502,chartdata Safety Net AG FT TY DS,,neutral
503,RT ashdfghjkl Napaka swerte natin that we are still under the safety of our homes able to lie down in comfort beds Pl,"lie, comfort",neutral
504,rory slaughter dbongino So you know what Biden would have done if he was president when we first learned about th,slaughter,negative
505,RT Jasmine blu Even in death I will love you Brand new woven blankets be releasing with the entire winter collection 11 27 at 2PM,"death, love",neutral
506,RT weatherchannel Strong La Ni a is possible this winter here s what that means,,neutral
507,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
508,RT ShirtlessStars Nothing like a hot hairy hunk stripping in the snow to warm up your chilly bits ShawnRoberts AFrostyAffair sh,"chilly, like, hot, warm",positive
509,RT robertkaaatz Dear professors who can read this please do suspend ALL SYNCHRONOUS and ASYNCHRONOUS activities up to post typhoon reco,,neutral
510,RT remindersph praying for everyone s safety Keep God is listening Better days will come soon,,neutral
511,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
512,Monday Mosh Radio Now Playing Snow Patrol Chasing Cars HamSphereMMR,,neutral
513,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
514,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
515,RT tribelaw Time to think about the 25th Amendment,,neutral
516,RT sshiyoobin Winter pre debut pics,,neutral
517,RT for bangtan07 Winter Flower Best canci n I m voting BTS Favorite Social Artist at the AMAs twt,,neutral
518,RT allarounddudut no idea on how to help pray for everyone s safety,,neutral
519,RT LindseySnell I m not Armenian have no place commenting on my feelings But when longer COVID positive ll go back because,positive,positive
520,RT tribelaw Time to think about the 25th Amendment,,neutral
521,RT FouldsIain Three years ago there was a flu outbreak in Alberta and were three times as many people ICU We are bei,outbreak,negative
522,RT joannachiu With extended chronic stress people get certain symptoms like fatigue difficulty thinking through complex thoughts greyi,"stress, complex, fatigue, like, chronic, difficulty, symptoms",negative
523,RT MoistCr1TiKaL Dogs supposedly have the strongest sense of smell they can future and when it s about to storm but choo,"smell, strongest",negative
524,more jeongi pre debut WINTER aespa,,neutral
525,JohnWatson2004 I had mine and no issues with it No different than flu shot,issues,negative
526,narendramodi Dear sir Please respond we have ca exams which long for 18 days Today s students are tomorrow natio,,neutral
527,RT BT21 This weather is snow joke Fleece season ON Embroidered patch Lavender black ivory colors Every fleecejacket,joke,negative
528,shereeny Child safety caps,,neutral
529,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
530,RT josstheboss The Chinese Flu is looking very American,,neutral
531,RT DutyOfAPatriot Did you know the French got Canada as a consolation prize because they couldn t win America That explains lot,"win, prize",positive
532,RT JustinTrudeau Can you save Boston s life There are two ways can help If re half Caucasian and Filipino please reach ou,,neutral
533,Adding on to this NY and NJ were able endure the Spring surge largely because of ICU nurses that came in fro,,neutral
534,PetiteNicoco Talk about giving in to pure tyranical control Isnt there a famous qoute those who give up freedom,"pure, freedom, famous",positive
535,CONVID IS A FRAUD,,neutral
536,RT SputnikInt Canada to announce new measures for citizens in HongKong as national security law enforced,,neutral
537,Preach preacher,,neutral
538,my only wish for christmas is safety American oomfs and those three people to follow me back,,neutral
539,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
540,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
541,RT Rigid3d The calm before the storm,calm,positive
542,RT AJCGlobal Have you ever avoided certain places events or situations out of concern for your safety as a Jew You aren t alone AJC,concern,negative
543,Use code 9SJPTONW Winter Gloves Cold Weather Windproof Thermal Touchscreen Cycling Running Outdoor Activiti,,neutral
544,RT TrumperWavin White hat operators posting a simple but straightforward message shows that they know nothing can stop what is coming Ba,straightforward,positive
545,ZoneWilbur walking in a minute or so but it s nice that moment alone is reason enough exist if you decide to lov,"enough, nice",positive
546,Canada and Greenland basically got nothing that s odeee,,neutral
547,RT mthrofmountains Sunsets crescent moons and snowy landscapes Winter in the PNW is unmatched When it s not raining of course,unmatched,positive
548,I just earned the Winter Wonderland Level 2 badge on untappd,,neutral
549,A helicopter crash a state hit by tropical storm and raging covid Crickets from the White House How presidenti,"crash, raging",negative
550,SheilaGunnReid Still curious how many of the current wave positive results have had flu shot,positive,positive
551,RT PmJustnot Global Edmonton just reported that there have been zero cases of the flu in this season Anyone want to hazard a gues,hazard,negative
552,I wanna be IN LOVE love but idk if that s jus coz it winter lmao,love,positive
553,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
554,RT jewelryhavencp SHIMMERY WINTER GLOSSES ARE NOW AVAILABLE santa baby kiss me under the mistletoe tis season let it snow,,neutral
555,I m boutta work my ass off all winter long,work,positive
556,RT Norway Pine Golden Ears Park Buntzen Lake Canada,,neutral
557,RT NZORATOR Covid and other flu cases rolled into one makes it a cramdemic,,neutral
558,visakanv i mean,,neutral
559,Wut We cured the flu HOORAY,,neutral
560,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
561,RT kennedy bouvier Haspel and Wray must face Justice not only a removal When it comes to National Security threats or covering up pl,threats,negative
562,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
563,RT ashdfghjkl Napaka swerte natin that we are still under the safety of our homes able to lie down in comfort beds Pl,"lie, comfort",neutral
564,RT FriendsofNancyP Facts are facts amp numbers don t lie in elections or the out of control rates coronavirus cases and daily records,lie,negative
565,RT ObongRoviel Make we settle am Terri and Mayorkun host Show for Lagos the same day No wizkid or Davido as guest act ch,,neutral
566,Protesters in Prince George B C demand ban on controversial glyphosate herbicide CBC News bcpoli cityofPG,controversial,negative
567,RT Casino Org MGM China Insider Sean Ma Buys 16 5 Million Worth of Stock Macau Gambling Asia HongKong,,neutral
568,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
569,Did Harry Meghan and Archie go in out of U S on Amtrak trains connected to Canada a country controlled by th,,neutral
570,RT NatObserver Canada and Saudi Arabia are the worst performers among their respective peers when it comes to scale of suppor,worst,negative
571,RT paul furber Patriots who are the best accounts to follow for red pills about Canada please A follower would like know She s look,"like, best",positive
572,RT ChopraNimmi777 With the grace of Saint Dr Gurmeetramrahim Ji Insan The derasachasauda has initiated a Cloth Bank for destitutes,grace,positive
573,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
574,RT dandarling I have to say telling families cancel Thanksgiving in the same week we had massive celebrations with political leaders,,neutral
575,RT StephenPunwasi Canada was not prepared when the pandemic first hit The fact that is doing significantly worse than it ha,worse,negative
576,CrimsynSeraph jackson pope BFTrick Bowerbirds1 GeektopiaGames WitchwayGames JonMerchant21 JVDesignsGames,,neutral
577,RT SputnikInt Canada to announce new measures for citizens in HongKong as national security law enforced,,neutral
578,RT tribelaw Time to think about the 25th Amendment,,neutral
579,RT josstheboss The Chinese Flu is looking very American,,neutral
580,RT aespa official Be MY ae Chilling all together KARINA GISELLE WINTER,,neutral
581,Winter is coming BeSafe,,neutral
582,RT josstheboss The Chinese Flu is looking very American,,neutral
583,KamalaHarris JoeBiden Long dark cold winter lockdown,"dark, cold",negative
584,Easy to swallow Vit D Help beat the winter blues ad SundownNutrition,,neutral
585,RT MinhazMerchant It would be a strategic blunder if India gave up the heights Army occupied on Aug 29 30 Chinese are talking peace,"blunder, peace",neutral
586,the calm before storm dreamsmp dreamsmpfanart mcyt mcytfanart karljacobsfanart wilbursootfanart,calm,positive
587,RT josstheboss The Chinese Flu is looking very American,,neutral
588,RT HappyPreppers Dominion Voting Systems is headquartered in Toronto Ontario Canada Isn t that ELECTION INTERFERENCE,,neutral
589,RT ernie plumley Did you notice the leftist lying dems are starting to bring back chy naa virus Do know why Ok I ll tell,"lying, virus",negative
590,RT ENHYPENThailand 201113 ENHYPlanForTheDay TGC Tokyo Girls Collection 2020 Winter Online 15 00 18,,neutral
591,RT josstheboss The Chinese Flu is looking very American,,neutral
592,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
593,I fell for him What a s t storm he has to deal with,fell,negative
594,RT astrocatdoodles I hope everyone is doing well right now Drop your commission sheets here especially emergency commissions and ple,"emergency, well, right",positive
595,RT josstheboss The Chinese Flu is looking very American,,neutral
596,jack TwitterSupport,,neutral
597,RT josstheboss The Chinese Flu is looking very American,,neutral
598,RT josstheboss The Chinese Flu is looking very American,,neutral
599,more winter pre debut,,neutral
600,RT carolinasassie Dominion Voting Systems is a company that sells electronic voting hardware and software including machines,,neutral
601,RT josstheboss The Chinese Flu is looking very American,,neutral
602,RT josstheboss The Chinese Flu is looking very American,,neutral
603,RT robertkaaatz Dear professors who can read this please do suspend ALL SYNCHRONOUS and ASYNCHRONOUS activities up to post typhoon reco,,neutral
604,Have you started your Christmas list this year Why not put on the top of Golf lessons indoor golf simul,top,positive
605,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
606,RT midgelambert This whole so called cabinet is inept,inept,negative
607,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
608,RT AndrewYang Did you know that Canada s life liberty and the pursuit of happiness is peace order good government That explai,"liberty, good, peace, happiness",positive
609,BradSherman The AGRESSION is from Armenia s side who invaded and occupied its neighbour Azerbaijan I m sure you,,neutral
610,RT gregorytonight shawnfuckingroberts hairy,,neutral
611,Join Twitter storm today at 5 UmarKhalidKoRihaKaro,,neutral
612,Winnipeg family desperate for ethnically diverse stem cell donor to save 3 month old boy,desperate,negative
613,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
614,RT josstheboss The Chinese Flu is looking very American,,neutral
615,AndrewYang So when are you moving to Canada eh If think those two phrases equivalent have some ser,,neutral
616,AskTarget BlueIris04 Is the temperature 451 at Target,,neutral
617,RT MoistCr1TiKaL Dogs supposedly have the strongest sense of smell they can future and when it s about to storm but choo,"smell, strongest",negative
618,RT josstheboss The Chinese Flu is looking very American,,neutral
619,Took a risk and ordered some cute clothes from an Instagram ad fingers Fingers crossed I actually get what or,"risk, cute",neutral
620,RT ibhupendra And then some lun tics have the audacity to say things like sHe dOeSnT hAvE aNy icOnIc mOvIe iN hEr cArEeR hER oNlY,"like, audacity",neutral
621,RT whittakertp COVID 19 infections and hospitalizations are out of control in Ontario Manitoba Saskatchewan Alberta erinotoole p,infections,negative
622,The current indoor temperature is 65 66 humidity 57 00 in Forestville 48 11 time 19 47,,neutral
623,RT theturner Whoa when you put it in a headline like that REALLY sounds doing basically nothing,like,positive
624,RT riseupmelbourne It s really getting farcical now isnt it We have a supposed virus that not isolated acts like the flu but n,"isolated, farcical, virus, like",negative
625,Looking at offers Inclusion hal19 2 old hal hal18 val winter new lucky mermaids Like,lucky,positive
626,RT maedforart COMMISSION FOR A CAUSE Me and my family were affected by the heavy storm I decided to reopen commission help,,neutral
627,RT tribelaw Time to think about the 25th Amendment,,neutral
628,RT TrumperWavin White hat operators posting a simple but straightforward message shows that they know nothing can stop what is coming Ba,straightforward,positive
629,RT dubsndoo The CTV Power Play panel is in full panic mode We need to lock everything down they screech Premiers are failing us t,"screech, panic, failing",negative
630,RT josstheboss The Chinese Flu is looking very American,,neutral
631,RT RPHutch1975 She Storm by Sebastian von Buchwald,,neutral
632,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
633,This is a great storm,great,positive
634,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
635,Yankees2723k anonpatriotq Can someone plz make sense of this for me like the Snow White I m confused,"like, confused",neutral
636,RT JamesEKHildreth Regardless of when or if 45 concedes to 46 the country cannot wait until January 20 2021 implement a national,,neutral
637,SHE IS OUR GIRL 4TH GEN VISUAL,,neutral
638,RT hooliyah It s literally so that kids have no where to go after school some place stay until they can be safety picked up,,neutral
639,RT ZainAlexxxander Tripping falling with no safety net,falling,negative
640,BigHitEnt txtonlive Cause we lost the summer When each other naye gyejeoreul dollyeojweo Oh,lost,negative
641,RT josstheboss The Chinese Flu is looking very American,,neutral
642,RT nooktastical For some context the 1918 flu wasn t super bad 1st wave it was 2nd that a disaster this is wh,"bad, disaster, super",negative
643,RT RealFatChick My winter gonna consist of being at work and the gym,work,positive
644,RT JohnnyEAwesome Marvel Character Talk Thor 337 1st Beta Ray Bill appearance amp Storm via YouTube small,,neutral
645,AgBioWorld An Appalachian riddle What s white as snow but it not And green grass A,,neutral
646,RT BT21 This weather is snow joke Fleece season ON Embroidered patch Lavender black ivory colors Every fleecejacket,joke,negative
647,I can t with these stories They make me cry at work,"work, cry",neutral
648,RT josstheboss The Chinese Flu is looking very American,,neutral
649,talkn3rdytome33 Gypsymuvaa Queen0fawkwardx Trump Supporters don t want to move Canada We love our country,love,positive
650,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
651,RT ernie plumley Did you notice the leftist lying dems are starting to bring back chy naa virus Do know why Ok I ll tell,"lying, virus",negative
652,RT ChildSafetywk With online learning becoming a new normal there is need for educators to become vigilant around children s sa,vigilant,positive
653,RT Assamdamunda Retweet for more heat in this winter,,neutral
654,I say take your communism back to China and leave it there Canada has been a free nation until politicians like,"like, free",positive
655,RT RepValDemings Governor DeSantis has hired an unqualified conspiracy theorist and Ohio sports blogger as part of Florida s COVID 19 res,"conspiracy, unqualified",negative
656,RT josstheboss The Chinese Flu is looking very American,,neutral
657,We are giving away a digital copy of BatmanDeathInTheFamily RT amp Follow BOTH US RipRocketPix for chance to w,,neutral
658,RT tribelaw Time to think about the 25th Amendment,,neutral
659,marcomendicino Thank you Canada,,neutral
660,RT tribelaw Time to think about the 25th Amendment,,neutral
661,RT TheRISEofROD No one is dying from the seasonal flu anymore but covid infections are skyrocketing Even though we now have proven,"dying, infections, proven",negative
662,RT SVSU Alert Due to a public safety emergency the campus community is instructed avoid Science West until further notice,emergency,negative
663,RT wspd3pio ThursdayThoughts Winter driving tips 101 Defrost or scrape all your windows in car before not just a 4 b,,neutral
664,RT DebraPHicks If safety requires us to indefinitely forfeit the most valuable parts of our lives what exactly are we trying save,"valuable, forfeit",neutral
665,Fuck,,neutral
666,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
667,McConnell is a eunuch,,neutral
668,RT josstheboss The Chinese Flu is looking very American,,neutral
669,RT BoundMaid All fun and games until Elsa flips the safety to that third position,fun,positive
670,RT lewasntme Didn t my guy end up admitting that the Eat Out to Help ting increased covid numbers This country is ran by Nu,,neutral
671,RT KBof325 Winter time blues,,neutral
672,There s snow in Nebraska yet it been 70 for the past week New York Insane,,neutral
673,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
674,RT BT21 This weather is snow joke Fleece season ON Embroidered patch Lavender black ivory colors Every fleecejacket,joke,negative
675,70 off Use code NBS4H2HP VARWANEO Toilet Lid Cover Soft Flannel Bathroom Fall Winter Warm Cute,,neutral
676,RT josstheboss The Chinese Flu is looking very American,,neutral
677,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
678,I find this funny cuz the pic has a girl with mask on why td would they have to wear that shit water,"shit, funny",negative
679,RT seethakkaMLA They dint win election But they won Respect No communal speeches Sentimental politics divide and rule agendas Th,"win, won",positive
680,LarryChicago If you need 4 million tests per day should look into why Sona Nanotech out of Canada who has a 9,,neutral
681,RT lizard puss Mutuals and non mutuals please don t just scroll ignore this I m in desperate need of 1126 to fix my car keep,"ignore, desperate",negative
682,RT TrumperWavin There s a storm coming It getting pretty rough out here Keep on praying Patriots,"rough, pretty",neutral
683,RT samsanders Because 2020 I now have a pair of indoor at home sweatshorts and going out to Target feeling fancy sweatshort,fancy,positive
684,RT hooliyah It s literally so that kids have no where to go after school some place stay until they can be safety picked up,,neutral
685,RT immharvic Twitter header People who are affected with UlyssesPH badly needs our help If you guys can spare even a small amount,badly,negative
686,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
687,RT josstheboss The Chinese Flu is looking very American,,neutral
688,and im sorry for being silent hours there was a massive storm the electricity were cut off my phone,"silent, sorry",neutral
689,SkolSithLord Now they finally announced today the flu numbers are combined in Well we already knew that shit,shit,negative
690,RT jacquirichman I wanna be IN LOVE love but idk if that s jus coz it winter lmao,love,positive
691,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
692,RT CPFNational Great opportunity for French speaking youth ages 14 25 from across Canada to practise and learn about other issues,issues,negative
693,Johnson4Dallas WerderEdESPN CityOfDallas It s flu season This is normal this time of the year,,neutral
694,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
695,RT liberty texan the virus is more likely to spread inside vs outside geographically southern states got hit hard in summer norther,"liberty, virus, hard",negative
696,RT Farlixx Daily fact 2 I m deathly afraid of shots my dad just told me getting flu shot in like 45 minutes,"afraid, like",neutral
697,RT josstheboss The Chinese Flu is looking very American,,neutral
698,Holiday Bella Hoot Premium Sparkle Believe Gift Wrap Your Nails Nail Strips Stickers Powders,,neutral
699,RT CloydRivers CoronaVirus isn t Trump s fault Ebola and Swine Flu weren Obama SARS wasn Bush Only a handf,fault,negative
700,RT calphonso Quebec is looking at temporarily closing schools and Ontario s education directors asking ministry to extend winter holiday,,neutral
701,Total shit governing body You consistently fight the wrong battles and always fail to ensure riders safety amp se,"fail, shit, consistently, wrong",negative
702,RT josstheboss The Chinese Flu is looking very American,,neutral
703,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
704,RT tribelaw Time to think about the 25th Amendment,,neutral
705,JohnWatson2004 Saturday might be rough I got mine with the flu shot a few weeks ago on Friday That was pretty wiped out,"rough, pretty",neutral
706,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
707,RT KOCOAbigail MISSING RACCOON Friends this is important George came to Oklahoma Norman area from Idaho help after our ice stor,important,positive
708,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
709,RT josstheboss The Chinese Flu is looking very American,,neutral
710,VojvotkinjaSRB I just did sent him a gif the comment was With love from Canada,love,positive
711,treasure bllbrd Yoshi Canada yeah TREASURE ALBUM RELEASE treasuremembers,treasure,positive
712,RT AndrewYang Did you know that Canada s life liberty and the pursuit of happiness is peace order good government That explai,"liberty, good, peace, happiness",positive
713,RT ArtistYablonska A Winter Window 2004 yablonska impressionism,,neutral
714,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
715,BEING A WINTER BIASED WAS NEVER AN OPTION I LOVE HER,,neutral
716,Ivy League Cancels Winter Sports and Stalls Spring Over Coronavirus,,neutral
717,RT PmJustnot Global Edmonton just reported that there have been zero cases of the flu in this season Anyone want to hazard a gues,hazard,negative
718,RT josstheboss The Chinese Flu is looking very American,,neutral
719,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
720,RT Joy Stats JOY is mentioned as inspiration for her retro eye makeup looks entering winter season where these are most popular,"popular, inspiration",positive
721,For those about that to Rock fire,,neutral
722,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
723,RT JeanieBuss My dearest Lakers fans there will be a day we can watch the team together in person but just not now The do th,fans,positive
724,BigHitEnt Cause we lost the summer When each other naye gyejeoreul dollyeojweo Oh it s all go,lost,negative
725,A few more awesome new snow shoe students Lots of laughs and fun today in the WINTER CCSD edu,"fun, awesome",positive
726,RT FouldsIain Three years ago there was a flu outbreak in Alberta and were three times as many people ICU We are bei,outbreak,negative
727,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
728,RT PierrePoilievre Can Freeland name a single G7 country other than socialist Italy with higher unemployment or deficits Canada h,,neutral
729,RT ashdfghjkl Napaka swerte natin that we are still under the safety of our homes able to lie down in comfort beds Pl,"lie, comfort",neutral
730,RT sumantbanerji Maruti Corp S Presso has scored 0 stars for safety in the latest GlobalNCAP crash testing Is it shocking Honestly n,"shocking, crash",negative
731,mpark6288 AbigailShrier Because the conservatives who run energy aren t allowed to shut your heat off in winter,,neutral
732,RT itsshabs Me sha I want Fly Out to Get,,neutral
733,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
734,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
735,RT ABSCBNNews The death toll from Typhoon UlyssesPH has increased to 14 the interior department said after storm brought powerful w,"death, powerful, toll",negative
736,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
737,If you aren t the 5 girls leave them alone You don know where they are at and what safety precautions,,neutral
738,RT PmJustnot Global Edmonton just reported that there have been zero cases of the flu in this season Anyone want to hazard a gues,hazard,negative
739,RT muh rye uh I just started taking antidepressants for the first time this year and have never heard of With cold flu season a,cold,negative
740,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
741,Please pray for the caravan as they head to DC,,neutral
742,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
743,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
744,olivianatasha Yo my man s stop wishing bad on us people that don t have proper cars for the snow,"bad, proper",neutral
745,Five Vermilion Valley Conference schools and La Salette have dropped out for the winter based on state guidance,guidance,positive
746,Five Vermilion Valley Conference schools and La Salette have dropped out for the winter based on state guidance,guidance,positive
747,RT jenniferdlaws Miranda saiddddd read the damn safety protocol GreysAnatomy,damn,negative
748,erinaleach That s a solid three I d have to think about it especially since do like Winter of Mixed Drinks quite bit,"like, solid",positive
749,RT RepValDemings Governor DeSantis has hired an unqualified conspiracy theorist and Ohio sports blogger as part of Florida s COVID 19 res,"conspiracy, unqualified",negative
750,yoongiiiyah Crystal snow,,neutral
751,No wonder I found my first grey hair,wonder,positive
752,RT AJEnglish Canada announces a new immigration programme for Hong Kong youth to work study and reside in the country,work,positive
753,RT sunfloweraidil just found out that there s a strict rule of no pooping inside beehive what do they hold it in during wint,strict,negative
754,RT josstheboss The Chinese Flu is looking very American,,neutral
755,RT aespa official Be MY ae Chilling all together KARINA GISELLE WINTER,,neutral
756,RT joannachiu A wide range of studies has shown that stress not only manifests in physical signs like greying hair weight gain and body,"stress, gain, like",positive
757,RT tumnuttawoot You are summer to my winter heart,,neutral
758,RT Motomom128302 Canada I need to know if some learned their lesson in 2019 or you d still waste your votes on a three time loser vo,"waste, loser",negative
759,RT winterpcs more winter pre debut,,neutral
760,RT BT21 This weather is snow joke Fleece season ON Embroidered patch Lavender black ivory colors Every fleecejacket,joke,negative
761,RT josstheboss The Chinese Flu is looking very American,,neutral
762,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
763,RT otbabycakes if larry isn t real i am actually concerned for louis safety,concerned,negative
764,RT TWilsonOttawa On cue long time demagogue Wendy Cukier uses the Toronto tragedy of a young boy caught in crossfire violent gang,"violent, tragedy",negative
765,RT josstheboss The Chinese Flu is looking very American,,neutral
766,weatherUpdate RT NHC Atlantic Tropical Storm Eta Advisory 51 Center of Just Off the South Carolina Coast,,neutral
767,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
768,not even kidding like i don t wanna be extra but psycho it s okay deserves to win best drama literally help,"like, best, win",positive
769,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
770,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
771,cassidyylang Now owned by Canada,,neutral
772,kimKBaltimore I live in Maryland and these restrictions affect mostly indoor dining because that is a big source o,,neutral
773,Had to remove his bed for safety and my sanity Why tf does he keept on scratching it like cat,like,positive
774,The kind of assurance Filipinos need,assurance,positive
775,RT DrSianJJ I believe in Dr Lawler We need to commit 3 measures 1 restrict all indoor gatherings of adults no more than 10 p,restrict,negative
776,The Ivy League became the first Division I conference this year to cancel all winter sports including men s and wo,,neutral
777,Describing it out loud felt as though she was partially reliving a dream the same tightness appearing in her chest,loud,negative
778,RT josstheboss The Chinese Flu is looking very American,,neutral
779,Oh shit You bet he would In a heartbeat,shit,negative
780,After an abusive relationship having to literally fight for your life The one thing you want feel in,abusive,negative
781,RT ElvenAsscheek Fall Winter themed Gift Art by the bestest boy of our babies Jupiter and Carlisle CARNIVALCARCASS https,,neutral
